Date,Open,High,Low,Close,Adj Close,Volume
2023-05-26,7.850000,7.880000,7.770000,7.870000,7.113152,486000
2023-05-29,7.860000,7.980000,7.860000,7.970000,7.203535,177100
2023-05-30,7.750000,7.830000,7.670000,7.730000,6.986615,572500
2023-05-31,7.690000,7.710000,7.550000,7.660000,6.923347,1010700
2023-06-01,7.630000,7.730000,7.550000,7.560000,6.832963,1393100
2023-06-02,7.690000,7.870000,7.680000,7.870000,7.113152,1349900
2023-06-05,8.000000,8.090000,7.760000,7.800000,7.049884,1333200
2023-06-06,7.750000,7.830000,7.680000,7.810000,7.058921,1011600
2023-06-07,7.840000,8.130000,7.820000,8.120000,7.339109,1566000
2023-06-08,8.100000,8.130000,7.810000,8.000000,7.230650,1073400
2023-06-09,8.010000,8.010000,7.920000,7.950000,7.185458,608800
2023-06-12,7.910000,7.930000,7.820000,7.880000,7.122190,1255600
2023-06-13,7.980000,8.090000,7.910000,7.940000,7.176420,1387700
2023-06-14,7.800000,7.860000,7.460000,7.480000,6.935351,1987800
2023-06-15,7.510000,7.710000,7.460000,7.700000,7.139332,1348400
2023-06-16,7.710000,7.730000,7.550000,7.650000,7.092973,974500
2023-06-19,7.630000,7.700000,7.610000,7.700000,7.139332,298000
2023-06-20,7.620000,7.640000,7.460000,7.530000,6.981711,961400
2023-06-21,7.530000,7.760000,7.500000,7.750000,7.185692,1439200
2023-06-22,7.650000,7.650000,7.420000,7.500000,6.953895,911000
2023-06-23,7.400000,7.460000,7.310000,7.440000,6.898264,672200
2023-06-26,7.450000,7.660000,7.450000,7.620000,7.065157,645100
2023-06-27,7.610000,7.780000,7.560000,7.690000,7.130061,700900
2023-06-28,7.700000,7.770000,7.540000,7.650000,7.092973,763400
2023-06-29,7.620000,7.810000,7.620000,7.810000,7.241323,844900
2023-06-30,7.850000,7.920000,7.770000,7.840000,7.269139,976000
2023-07-04,7.850000,7.920000,7.840000,7.890000,7.315498,333800
2023-07-05,7.920000,7.950000,7.750000,7.860000,7.287683,740500
2023-07-06,7.780000,7.830000,7.660000,7.700000,7.139332,601300
2023-07-07,7.690000,8.040000,7.660000,7.950000,7.371129,1264900
2023-07-10,7.980000,8.190000,7.950000,8.090000,7.500935,839200
2023-07-11,8.140000,8.220000,8.090000,8.150000,7.556565,759200
2023-07-12,8.200000,8.220000,8.010000,8.010000,7.426760,770800
2023-07-13,7.990000,8.030000,7.700000,7.730000,7.167148,1532600
2023-07-14,7.730000,7.750000,7.460000,7.470000,6.926079,1925100
2023-07-17,7.470000,7.530000,7.390000,7.430000,6.888992,1575300
2023-07-18,7.490000,7.650000,7.460000,7.610000,7.055886,1106000
2023-07-19,7.640000,7.720000,7.600000,7.650000,7.092973,803000
2023-07-20,7.700000,7.890000,7.660000,7.720000,7.157876,999600
2023-07-21,7.740000,7.780000,7.610000,7.650000,7.092973,580200
2023-07-24,7.700000,7.800000,7.660000,7.760000,7.194964,1030000
2023-07-25,7.760000,7.760000,7.600000,7.700000,7.139332,980000
