Date,Open,High,Low,Close,Adj Close,Volume
2023-05-26,5.860000,5.860000,5.860000,5.860000,5.822243,0
2023-05-29,5.860000,5.860000,5.860000,5.860000,5.822243,0
2023-05-30,6.000000,6.000000,5.870000,5.870000,5.832178,1200
2023-05-31,5.910000,6.050000,5.910000,6.050000,6.011019,600
2023-06-01,6.120000,6.130000,6.050000,6.050000,6.011019,900
2023-06-02,6.050000,6.050000,6.050000,6.050000,6.011019,0
2023-06-05,5.940000,6.000000,5.940000,6.000000,5.961341,2300
2023-06-06,5.870000,5.870000,5.870000,5.870000,5.832178,300
2023-06-07,5.900000,6.000000,5.870000,5.900000,5.861985,4200
2023-06-08,5.870000,5.900000,5.870000,5.900000,5.861985,1200
2023-06-09,5.900000,5.900000,5.900000,5.900000,5.861985,400
2023-06-12,5.900000,5.900000,5.900000,5.900000,5.861985,0
2023-06-13,6.000000,6.000000,5.870000,6.000000,5.961341,2900
2023-06-14,5.880000,5.880000,5.880000,5.880000,5.842114,200
2023-06-15,5.880000,5.880000,5.880000,5.880000,5.842114,0
2023-06-16,5.880000,5.880000,5.880000,5.880000,5.842114,1800
2023-06-19,5.880000,5.880000,5.880000,5.880000,5.842114,500
2023-06-20,5.880000,5.880000,5.880000,5.880000,5.842114,300
2023-06-21,5.990000,5.990000,5.880000,5.880000,5.842114,4200
2023-06-22,5.880000,5.880000,5.880000,5.880000,5.842114,0
2023-06-23,5.880000,5.880000,5.880000,5.880000,5.842114,0
2023-06-26,5.880000,5.880000,5.880000,5.880000,5.842114,0
2023-06-27,5.900000,6.000000,5.900000,6.000000,5.961341,3100
2023-06-28,6.000000,6.000000,6.000000,6.000000,5.961341,300
2023-06-29,6.000000,6.000000,6.000000,6.000000,5.961341,100
2023-06-30,6.000000,6.000000,6.000000,6.000000,5.961341,0
2023-07-04,6.000000,6.010000,6.000000,6.000000,5.961341,14100
2023-07-05,6.000000,6.000000,5.900000,5.900000,5.861985,1500
2023-07-06,5.900000,5.900000,5.900000,5.900000,5.861985,0
2023-07-07,5.900000,5.900000,5.900000,5.900000,5.861985,200
2023-07-10,5.900000,5.900000,5.900000,5.900000,5.861985,1500
2023-07-11,5.620000,5.750000,5.620000,5.740000,5.703016,13500
2023-07-12,5.810000,5.810000,5.800000,5.800000,5.762630,1100
2023-07-13,5.810000,5.820000,5.810000,5.820000,5.782501,400
2023-07-14,5.820000,5.890000,5.810000,5.890000,5.852049,800
2023-07-17,5.890000,5.890000,5.890000,5.890000,5.852049,0
2023-07-18,5.810000,5.810000,5.720000,5.790000,5.752694,9300
2023-07-19,5.790000,5.790000,5.790000,5.790000,5.752694,0
2023-07-20,5.810000,5.810000,5.790000,5.810000,5.772565,2600
2023-07-21,5.840000,5.850000,5.730000,5.730000,5.693080,7200
2023-07-24,5.990000,6.000000,5.990000,6.000000,5.961341,900
2023-07-25,6.000000,6.150000,6.000000,6.150000,6.110374,8500
2023-07-26,6.190000,6.250000,6.140000,6.140000,6.100439,7800
2023-07-27,6.210000,6.210000,6.150000,6.150000,6.110374,800
2023-07-28,6.160000,6.160000,6.150000,6.150000,6.110374,1100
2023-07-31,5.830000,6.100000,5.830000,6.100000,6.060696,500
2023-08-01,6.100000,6.160000,6.050000,6.050000,6.011019,9400
2023-08-02,6.150000,7.000000,6.150000,6.900000,6.855542,61600
2023-08-03,7.000000,7.250000,7.000000,7.250000,7.203287,30600
2023-08-04,7.280000,7.380000,7.280000,7.380000,7.332449,14200
2023-08-08,7.460000,7.510000,7.160000,7.400000,7.352320,12300
2023-08-09,7.500000,7.690000,7.490000,7.680000,7.630516,22500
2023-08-10,7.850000,7.900000,7.510000,7.850000,7.799421,10200
2023-08-11,7.800000,7.910000,7.800000,7.890000,7.869236,11500
2023-08-14,7.900000,8.070000,7.580000,7.900000,7.879210,27600
2023-08-15,7.520000,7.800000,7.520000,7.650000,7.629869,3500
2023-08-16,7.270000,7.650000,7.270000,7.460000,7.440368,10500
2023-08-17,7.260000,7.300000,7.220000,7.230000,7.210974,6400
2023-08-18,7.230000,7.400000,7.200000,7.400000,7.380526,2000
2023-08-21,7.400000,7.600000,7.400000,7.570000,7.550079,3600
2023-08-22,7.470000,7.700000,7.470000,7.700000,7.679737,4200
2023-08-23,7.750000,7.750000,7.170000,7.380000,7.360579,16200
2023-08-24,7.390000,7.440000,7.380000,7.400000,7.380526,1700
2023-08-25,7.400000,7.540000,7.400000,7.540000,7.520158,2100
2023-08-28,7.540000,7.680000,7.540000,7.610000,7.589973,1900
2023-08-29,7.610000,7.800000,7.610000,7.800000,7.779474,3800
2023-08-30,7.800000,7.930000,7.790000,7.930000,7.909131,20000
2023-08-31,7.890000,7.900000,7.890000,7.900000,7.879210,3600
2023-09-01,7.900000,7.900000,7.900000,7.900000,7.879210,10300
2023-09-05,7.780000,7.930000,7.780000,7.900000,7.879210,7600
2023-09-06,7.750000,7.930000,7.750000,7.900000,7.879210,79700
2023-09-07,7.930000,8.300000,7.930000,8.300000,8.278158,134800
2023-09-08,8.300000,9.100000,8.300000,8.860000,8.836683,146800
2023-09-11,8.860000,9.300000,8.860000,9.300000,9.275526,49900
2023-09-12,9.350000,9.350000,9.260000,9.300000,9.275526,23100
2023-09-13,9.300000,9.400000,9.200000,9.240000,9.215684,26200
2023-09-14,9.360000,9.400000,9.300000,9.400000,9.375262,5100
2023-09-15,9.400000,9.400000,9.350000,9.400000,9.375262,9200
2023-09-18,9.400000,9.420000,9.350000,9.390000,9.365290,16600
2023-09-19,9.300000,9.300000,9.270000,9.270000,9.245605,7300
2023-09-20,9.270000,9.270000,9.000000,9.060000,9.036158,11000
2023-09-21,9.050000,9.200000,9.050000,9.170000,9.145868,2500
2023-09-22,9.080000,9.080000,9.000000,9.000000,8.976315,1900
2023-09-25,9.000000,9.000000,9.000000,9.000000,8.976315,2600
2023-09-26,9.000000,9.000000,8.730000,8.750000,8.726974,5600
2023-09-27,8.800000,9.000000,8.750000,9.000000,8.976315,5100
2023-09-28,9.050000,9.050000,8.850000,8.990000,8.966342,6900
2023-09-29,8.760000,8.950000,8.760000,8.950000,8.926447,1200
2023-10-02,8.930000,8.930000,8.300000,8.300000,8.278158,28700
2023-10-03,8.180000,8.330000,8.150000,8.300000,8.278158,13400
2023-10-04,8.220000,8.370000,8.220000,8.350000,8.328027,16600
2023-10-05,8.400000,8.400000,8.400000,8.400000,8.377894,100
2023-10-06,8.400000,8.420000,8.350000,8.360000,8.337999,2200
2023-10-10,8.530000,8.530000,8.450000,8.500000,8.477632,5900
2023-10-11,8.500000,8.500000,8.350000,8.350000,8.328027,2800
2023-10-12,8.350000,8.530000,8.350000,8.350000,8.328027,11900
2023-10-13,8.410000,8.410000,8.370000,8.410000,8.387868,1700
2023-10-16,8.500000,8.850000,8.370000,8.850000,8.826711,4900
2023-10-17,8.860000,8.870000,8.720000,8.720000,8.697053,4200
2023-10-18,8.500000,8.680000,8.500000,8.560000,8.537474,2000
2023-10-19,8.670000,8.810000,8.670000,8.810000,8.786816,4700
2023-10-20,8.680000,8.870000,8.680000,8.800000,8.776842,1800
2023-10-23,8.800000,8.910000,8.800000,8.910000,8.886552,5000
2023-10-24,8.920000,9.150000,8.920000,9.150000,9.125920,94900
2023-10-25,9.180000,9.360000,9.160000,9.360000,9.335368,4600
2023-10-26,9.330000,9.330000,8.980000,8.980000,8.956367,9400
2023-10-27,9.060000,9.630000,9.060000,9.440000,9.415157,18000
2023-10-30,9.500000,9.500000,9.300000,9.470000,9.445079,26100
2023-10-31,9.470000,10.540000,9.450000,10.180000,10.153211,36700
2023-11-01,10.150000,10.150000,8.360000,8.880000,8.856631,35300
2023-11-02,8.740000,9.220000,8.500000,9.210000,9.185763,19200
2023-11-03,9.490000,9.490000,9.090000,9.420000,9.395210,4600
2023-11-06,9.320000,9.320000,9.020000,9.100000,9.076053,3000
2023-11-07,8.970000,9.010000,8.660000,8.800000,8.776842,4000
2023-11-08,8.790000,8.890000,8.750000,8.750000,8.726974,2900
2023-11-09,8.690000,9.110000,8.690000,9.050000,9.026184,6200
2023-11-10,9.010000,9.110000,8.900000,8.900000,8.876578,5600
2023-11-13,8.900000,9.000000,8.900000,8.920000,8.896526,2700
2023-11-14,8.910000,8.910000,8.750000,8.750000,8.726974,11300
2023-11-15,8.520000,8.800000,8.520000,8.780000,8.756894,900
2023-11-16,8.780000,8.800000,8.450000,8.800000,8.776842,8500
2023-11-17,8.570000,8.750000,8.570000,8.650000,8.627236,1400
2023-11-20,8.550000,8.600000,8.460000,8.460000,8.437737,16900
2023-11-21,8.620000,8.650000,8.500000,8.650000,8.627236,1400
2023-11-22,8.650000,8.680000,8.640000,8.650000,8.627236,2300
2023-11-23,8.740000,8.740000,8.510000,8.600000,8.577369,1800
2023-11-24,8.770000,8.780000,8.580000,8.580000,8.557421,2400
2023-11-27,8.500000,8.550000,8.470000,8.480000,8.457684,3300
2023-11-28,8.420000,8.430000,8.150000,8.280000,8.258210,40000
2023-11-29,8.250000,8.250000,8.050000,8.060000,8.038790,19800
